EMPRESA,MODALIDAD_CONTRACTUAL,Segmento,ANO,TRIMESTRE,NUMERO_DE_BAJAS,,
Entel_Peru_S.A.,Prepago,Residencial,2022,II,1134836,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2022,II,574,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2022,II,4980,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2022,II,328,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2022,II,8526,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2022,II,6101,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2022,II,21058,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2022,II,154849,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2022,II,343063,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2022,II,1574116,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2022,II,6242,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2022,II,23276,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2022,II,768182,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2022,II,1548543,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2022,III,4988,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2022,III,38161,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2022,III,59850,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2022,III,425602,,
