Empresa,Modalidad Contractual,Segmento,Ano,Trimestre,Numero de Bajas
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2020,IV,"711,927"
VIETTEL PERU S.A.C.,Control,Comercial,2020,IV,"4,067"
VIETTEL PERU S.A.C.,Control,Residencial,2020,IV,"201,532"
VIETTEL PERU S.A.C.,Prepago,Comercial,2020,IV,"3,216"
VIETTEL PERU S.A.C.,Prepago,Residencial,2020,IV,"1,569,969"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2021,I,"90,976"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2021,I,"308,213"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2021,I,"20,408"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2021,I,"32,761"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2021,I,"988,173"
Entel Peru S.A.,Control,Residencial,2021,I,"390,466"
Entel Peru S.A.,Postpago,Residencial,2021,I,"8,588"
Entel Peru S.A.,Prepago,Residencial,2021,I,"866,688"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,I,116
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,I,"2,085"
Telefonica DEL Peru S.A.A.,Control,Comercial,2021,I,"11,978"
Telefonica DEL Peru S.A.A.,Control,Residencial,2021,I,"331,081"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2021,I,"52,457"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2021,I,"18,330"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2021,I,"952,461"
VIETTEL PERU S.A.C.,Control,Comercial,2021,I,"11,191"
VIETTEL PERU S.A.C.,Control,Residencial,2021,I,"206,591"
VIETTEL PERU S.A.C.,Postpago,Residencial,2021,I,8
VIETTEL PERU S.A.C.,Prepago,Comercial,2021,I,"2,584"
VIETTEL PERU S.A.C.,Prepago,Residencial,2021,I,"915,560"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,I,405
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,I,"12,869"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2021,II,"2,638"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2021,II,"39,153"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2021,II,"55,827"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2021,II,"321,942"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2021,II,"1,015,273"
Entel Peru S.A.,Postpago,Residencial,2021,II,"5,481"
Entel Peru S.A.,Control,Residencial,2021,II,"396,218"
Entel Peru S.A.,Prepago,Residencial,2021,II,"1,031,782"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,II,773
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,II,"9,798"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,II,189
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,II,"5,798"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2021,II,"13,254"
Telefonica DEL Peru S.A.A.,Control,Comercial,2021,II,"31,010"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2021,II,"37,126"
Telefonica DEL Peru S.A.A.,Control,Residencial,2021,II,"392,903"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2021,II,"1,322,539"
VIETTEL PERU S.A.C.,Prepago,Comercial,2021,II,"1,786"
VIETTEL PERU S.A.C.,Control,Comercial,2021,II,"12,933"
VIETTEL PERU S.A.C.,Control,Residencial,2021,II,"741,122"
VIETTEL PERU S.A.C.,Prepago,Residencial,2021,II,"1,076,440"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,III,728
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,III,"8,193"
VIETTEL PERU S.A.C.,Postpago,Comercial,2021,III,1
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,III,132
VIETTEL PERU S.A.C.,Prepago,Comercial,2021,III,"2,324"
ENTEL Peru S.A.,Postpago,Residencial,2021,III,"4,692"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2021,III,"7,155"
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,III,"7,377"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2021,III,"16,091"
VIETTEL PERU S.A.C.,Control,Comercial,2021,III,"25,389"
Telefonica DEL Peru S.A.A.,Control,Comercial,2021,III,"41,068"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2021,III,"42,048"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2021,III,"46,385"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2021,III,"55,125"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2021,III,"326,427"
Telefonica DEL Peru S.A.A.,Control,Residencial,2021,III,"427,086"
ENTEL Peru S.A.,Control,Residencial,2021,III,"441,275"
VIETTEL PERU S.A.C.,Control,Residencial,2021,III,"744,340"
ENTEL Peru S.A.,Prepago,Residencial,2021,III,"977,299"
VIETTEL PERU S.A.C.,Prepago,Residencial,2021,III,"1,175,890"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2021,III,"1,181,632"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2021,III,"1,355,658"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,IV,469
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,IV,"6,664"
ENTEL Peru S.A.,Postpago,Residencial,2021,IV,926
ENTEL Peru S.A.,Control,Residencial,2021,IV,"479,856"
ENTEL Peru S.A.,Prepago,Residencial,2021,IV,"1,053,549"
VIETTEL PERU S.A.C.,Control,Comercial,2021,IV,"9,259"
VIETTEL PERU S.A.C.,Control,Residencial,2021,IV,"405,264"
VIETTEL PERU S.A.C.,Prepago,Comercial,2021,IV,"2,419"
VIETTEL PERU S.A.C.,Prepago,Residencial,2021,IV,"1,245,681"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2021,IV,"1,712"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2021,IV,"62,059"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2021,IV,"49,352"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2021,IV,"373,787"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2021,IV,"1,094,856"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,IV,172
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,IV,"7,421"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2021,IV,"23,038"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2021,IV,"41,185"
Telefonica DEL Peru S.A.A.,Control,Comercial,2021,IV,"43,159"
Telefonica DEL Peru S.A.A.,Control,Residencial,2021,IV,"452,825"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2021,IV,"1,399,362"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2022,I,"2,358"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2022,I,"71,134"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2022,I,"117,432"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2022,I,"385,401"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2022,I,"1,122,260"
ENTEL Peru S.A.,Postpago,Residencial,2022,I,521
ENTEL Peru S.A.,Control,Residencial,2022,I,"467,899"
ENTEL Peru S.A.,Prepago,Residencial,2022,I,"1,106,717"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2022,I,"4,619"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2022,I,"4,980"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2022,I,189
GUINEA MOBILE S.A.C.,Prepago,Residencial,2022,I,"8,963"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2022,I,"21,354"
Telefonica DEL Peru S.A.A.,Control,Comercial,2022,I,"71,364"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2022,I,"115,140"
Telefonica DEL Peru S.A.A.,Control,Residencial,2022,I,"540,953"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2022,I,"1,440,922"
VIETTEL PERU S.A.C.,Prepago,Comercial,2022,I,"1,779"
VIETTEL PERU S.A.C.,Control,Comercial,2022,I,"14,755"
VIETTEL PERU S.A.C.,Control,Residencial,2022,I,"266,174"
VIETTEL PERU S.A.C.,Prepago,Residencial,2022,I,"1,100,681"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2022,II,"5,871"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2022,II,"61,103"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2022,II,"70,259"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2022,II,"408,734"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2022,II,"1,146,779"
ENTEL Peru S.A.,Postpago,Residencial,2022,II,869
ENTEL Peru S.A.,Control,Residencial,2022,II,"827,843"
ENTEL Peru S.A.,Prepago,Residencial,2022,II,"1,134,836"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2022,II,574
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2022,II,"4,980"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2022,II,328
GUINEA MOBILE S.A.C.,Prepago,Residencial,2022,II,"8,526"
Telefonica DEL Peru S.A.A.,Control,Comercial,2022,II,"6,101"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2022,II,"21,058"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2022,II,"154,849"
Telefonica DEL Peru S.A.A.,Control,Residencial,2022,II,"343,063"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2022,II,"1,574,116"
VIETTEL PERU S.A.C.,Prepago,Comercial,2022,II,"6,242"
VIETTEL PERU S.A.C.,Control,Comercial,2022,II,"23,276"
VIETTEL PERU S.A.C.,Control,Residencial,2022,II,"768,182"
VIETTEL PERU S.A.C.,Prepago,Residencial,2022,II,"1,548,543"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2022,III,"4,988"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2022,III,"38,161"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2022,III,"59,850"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2022,III,"425,602"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2022,III,"1,440,248"
